TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"A Book Mark Would Be Better | Vintage poster print for book lovers","Originally commissioned by the WPA Federal Art Project, a scheme by the US Government to fund the visual arts from 1935-1943, this is a classic poster design for book lovers everywhere.

---

Prints are available in multiple sizes, with a white border around the edges to allow for easy framing. If you have a specific size requirement, get in touch – we're always happy to help.

We will professionally print your artwork on high quality, exhibition-grade art paper with fade-resistant archival pigment inks, giving you superb colour reproduction and clarity. With care, your print will look fantastic for over a hundred years!

Your prints will be carefully packed in a mailing tube or stiff envelope to keep them safe, and we aim have them on their way to you within 3-7 days of receiving your payment.

Please note that the actual item colours shown may be different from the photos above due to different monitor setting, and the frame shown is for illustrative purposes only.",10.6,GBP,49,"Wall_art,Book,Poster,Yellow,American,1930s,Art_print,Book_lovers,Funny,Book_mark,Retro,Vintage,WPA",,https://i.etsystatic.com/12853550/r/il/2cedc4/2226244845/il_fullxfull.2226244845_4xie.jpg,https://i.etsystatic.com/12853550/r/il/91f897/1012650759/il_fullxfull.1012650759_mbij.jpg,,,,,,,,,Dimensions,Dimensions,"5x7,A5 - 5.8x8.3,8x10,A4 - 8.3x11.7,11x14,A3 - 11.7x16.5",,,,
"Courgettes, Marrows & Squashes | Kitchen vegetables antique botanical print | Cooking wall art | Poster | Vintage kitchen home decor | AB06","Kitchen vegetables antique botanical print | Courgettes, marrows & squashes | Cooking wall art | Poster | Vintage kitchen home decor | AB06

This vintage illustration has been digitally enhanced and printed using high quality inks on heavyweight enhanced matt art paper. A fantastic gift or a fabulous addition to your home!
 
---

Explore the many other great prints we have available: https://www.etsy.com/shop/TheDoveAndTheSeagull

---

Please choose between the sizes available, though if you have a specific size requirement, get in touch – we're always happy to help Prints have a white border around the edges to allow for easy framing.

When posting, we'll carefully pack your prints in a mailing tube or stiff envelope to keep them safe, and we aim have them on their way to you within 3-7 days of receiving your payment.

Please note that the actual item colours shown may be different from the photos above due to different monitor settings, and the frame shown is for illustrative purposes only.",10.6,GBP,1,"Botanical_art,Wall_art,Photograph,Vintage,Art_poster,Kitchen_wall_art,Vegetables_print,Vegetables_poster,Home_decor,Kitchen_print,Antique_botanical,Gardening_print,Gardening_wall_art",,https://i.etsystatic.com/12853550/r/il/a09869/2296034566/il_fullxfull.2296034566_11qs.jpg,https://i.etsystatic.com/12853550/r/il/d50ae2/2343644013/il_fullxfull.2343644013_fx4g.jpg,https://i.etsystatic.com/12853550/r/il/15d2a5/1749194262/il_fullxfull.1749194262_s6cj.jpg,,,,,,,,Dimensions,Dimensions,"5x7,A5 - 5.8x8.3,8x10,A4 - 8.3x11.7,11x14,A3 - 11.7x16.5",,,,
"Compass Plant - Plate 41 | Urformen der Kunst | Karl Blossfeldt | Botanical print, wall art, room decor, black & white, sepia, vintage","Silphium Laciniatum. Compass Plant. Leaf dried on the stem enlarged 5 times.

This is a print of plate 41 from Karl Blossfeldt's groundbreaking work 'Urformen der Kunst', first published in 1928. An English edition was published in 1929 as 'Art Forms in Nature'. The complete work contains 120 rotary gravure plates, prefaced with an introductory text and list of subjects.

Karl Blossfeldt was a German teacher, sculptor and photographer celebrated by early modernists and the Surrealists for his pioneering close-up photography of plants and flora. Using a homemade camera and lens, he was able to magnify a subject 30 times, capturing the fine detail of his specimens.

The philosopher Walter Benjamin declared that Blossfeld ""has played his part in that great examination of the inventory of perception, which will have an unforeseeable effect on our conception of the world"". 

### Printing

Prints are available in a range of sizes, with a white border around the edges to allow for easy framing. If you have a specific size requirement, get in touch – we're always happy to help.

We use 200gsm enhanced matt art paper, an extremely high quality paper with a lovely texture, which looks fantastic and brings out the best in your artwork. With care, your print will look fantastic for many years!

### Shipping and delivery

When posting, we'll carefully pack your prints in a mailing tube or stiff envelope to keep them safe, and we aim have them on their way to you within 3-7 days of receiving your payment.

Please note that the actual item colours shown may be different from the photos above due to different monitor settings, and the frame shown is for illustrative purposes only.

---

View the other prints in this collection: https://www.etsy.com/uk/shop/TheDoveAndTheSeagull?ref=hdr_shop_menu§ion_id§ion_id=19118759

Explore the many other great prints we have available: https://www.etsy.com/shop/TheDoveAndTheSeagull",10.6,GBP,47,"Poster_print,Botanical,Botanical_art,Wall_art,Botanical_poster,Photograph,Vintage,Black_and_white,Sepia,Minimal,High_quality_print,Botanical_print,Urformen_der_Kunst",,https://i.etsystatic.com/12853550/r/il/5ddebe/2344296373/il_fullxfull.2344296373_olax.jpg,https://i.etsystatic.com/12853550/r/il/2b93fa/1095719111/il_fullxfull.1095719111_fqyo.jpg,,,,,,,,,Dimensions,Dimensions,"5x7,A5 - 5.8x8.3,8x10,A4 - 8.3x11.7,11x14,A3 - 11.7x16.5",,,,
"Small Teasel - Plate 77 | From Urformen Der Kunst by Karl Blossfeldt | Vintage botanical photographic print","Small Teasel (Cephalaria). Enlarged 10 times. Plate 77.

This is a high-quality print from Karl Blossfeldt's groundbreaking work 'Urformen der Kunst' first published in 1928. A 1929 English edition was published as 'Art Forms in Nature'. The complete work contains 120 rotary gravure plates, prefaced with an introductory text and list of subjects.

Karl Blossfeldt was a German teacher, sculptor and photographer celebrated by early modernists and the Surrealists for his pioneering close-up photography of plants and flora. Using a homemade camera and lens, he was able to magnify a subject 30 times, capturing the fine detail of his specimens.

The philosopher Walter Benjamin declared that Blossfeld 'has played his part in that great examination of the inventory of perception, which will have an unforeseeable effect on our conception of the world’. 

---

View the other prints in this collection: https://www.etsy.com/uk/shop/TheDoveAndTheSeagull?ref=hdr_shop_menu§ion_id=19118759

Explore the many other great prints we have available: https://www.etsy.com/shop/TheDoveAndTheSeagull

---

Prints are available in a range of sizes, with a white border around the edges to allow for easy framing. If you have a specific size requirement, get in touch – we're always happy to help.

We use 200gsm enhanced matt art paper, an extremely high quality paper with a lovely texture, which looks fantastic and brings out the best in your artwork. With care, your print will look fantastic for many years!

When posting, we'll carefully pack your prints in a mailing tube or stiff envelope to keep them safe, and we aim have them on their way to you within 3-7 days of receiving your payment.

Please note that the actual item colours shown may be different from the photos above due to different monitor settings, and the frame shown is for illustrative purposes only.",10.6,GBP,46,"Poster_print,Botanical,Botanical_art,Wall_art,Botanical_poster,Photograph,Vintage,Black_and_white,Sepia,Minimal,Plant,High_quality_print,Urformen_der_Kunst",,https://i.etsystatic.com/12853550/r/il/a242c9/2344295699/il_fullxfull.2344295699_87uv.jpg,,,,,,,,,,Dimensions,Dimensions,"5x7,A5 - 5.8x8.3,8x10,A4 - 8.3x11.7,11x14,A3 - 11.7x16.5",,,,
"Botanical butterfly poster 7 | Nature prints, insect, botany, wall art, room decor, vintage print, watercolour | High quality print","This is a new giclee print of butterflies adapted from an vintage botanical book. These fantastic prints would liven up any kitchen or other room in your house. 

---

Take a look at the other prints we have available: https://www.etsy.com/shop/TheDoveAndTheSeagull

---

Prints are available in a range of sizes, with a white border around the edges to allow for easy framing. If you have a specific size requirement, get in touch – we're always happy to help.

We use 200gsm enhanced matt art paper, an extremely high quality paper with a lovely texture, which looks fantastic and brings out the best in your artwork. With care, your print will look fantastic for many years!

When posting, we'll carefully pack your prints in a mailing tube or stiff envelope to keep them safe, and we aim have them on their way to you within 3-7 days of receiving your payment.

Please note that the actual item colours shown may be different from the photos above due to different monitor settings, and the frame shown is for illustrative purposes only.
---

Botanical butterfly poster 7 | Nature prints, insect, botany, wall art, room decor, vintage print, watercolour | High quality print",10.6,GBP,49,"Poster,Poster_print,Wall_art,Vintage,Watercolour,Nature,Botanical_art,Wildlife,Nature_print,Butterfly_print,Butterfly_art,Butterfly_poster,High_quality_print",,https://i.etsystatic.com/12853550/r/il/0d97fd/2343271083/il_fullxfull.2343271083_ou3w.jpg,https://i.etsystatic.com/12853550/r/il/d0415b/2295661586/il_fullxfull.2295661586_193l.jpg,,,,,,,,,Dimensions,Dimensions,"5x7,A5 - 5.8x8.3,8x10,A4 - 8.3x11.7,11x14,A3 - 11.7x16.5",,,,
"Root Vegetables | Kitchen vegetables antique botanical print | Cooking wall art | Poster | Vintage kitchen home decor | AB08","Kitchen vegetables antique botanical print | Root vegetables | Cooking wall art | Poster | Vintage kitchen home decor | AB08

This vintage illustration has been digitally enhanced and printed using high quality inks on heavyweight enhanced matt art paper. A fantastic gift or a fabulous addition to your home!
 
---

Explore the many other great prints we have available: https://www.etsy.com/shop/TheDoveAndTheSeagull

---

Please choose between the sizes available, though if you have a specific size requirement, get in touch – we're always happy to help Prints have a white border around the edges to allow for easy framing.

When posting, we'll carefully pack your prints in a mailing tube or stiff envelope to keep them safe, and we aim have them on their way to you within 3-7 days of receiving your payment.

Please note that the actual item colours shown may be different from the photos above due to different monitor settings, and the frame shown is for illustrative purposes only.",10.6,GBP,994,"Botanical_art,Wall_art,Photograph,Vintage,Art_poster,Kitchen_wall_art,Vegetables_print,Vegetables_poster,Home_decor,Kitchen_print,Antique_botanical,Gardening_print,Gardening_wall_art",,https://i.etsystatic.com/12853550/r/il/d931c9/2343645085/il_fullxfull.2343645085_7yjl.jpg,https://i.etsystatic.com/12853550/r/il/64d8e1/2296035766/il_fullxfull.2296035766_eu9c.jpg,https://i.etsystatic.com/12853550/r/il/01cda8/1796650973/il_fullxfull.1796650973_4kd6.jpg,,,,,,,,Dimensions,Dimensions,"5x7,A5 - 5.8x8.3,8x10,A4 - 8.3x11.7,11x14,A3 - 11.7x16.5",,,,
"Tulip Flower | Vintage botanical print 1 | Botanical prints, wall art, room decor, vintage print, watercolour, spring | High quality print","This lovely tulip botanical watercolour study was painted in the 1600s. I love the the depth the paper texture brings to the image.

---

Take a look at the other prints we have available:
https://www.etsy.com/shop/TheDoveAndTheSeagull

---

Prints are available in a range of sizes, with a white border around the edges to allow for easy framing. If you have a specific size requirement, get in touch – we're always happy to help.

We use 200gsm enhanced matt art paper, an extremely high quality paper with a lovely texture, which looks fantastic and brings out the best in your artwork. With care, your print will look fantastic for many years!

When posting, we'll carefully pack your prints in a mailing tube or stiff envelope to keep them safe, and we aim have them on their way to you within 3-7 days of receiving your payment.

Please note that the actual item colours shown may be different from the photos above due to different monitor settings, and the frame shown is for illustrative purposes only.

---

Two tulips with insects vintage botanical print | Botanical prints, wall art, room decor, vintage print, watercolour | High quality print",10.6,GBP,49,"Poster,Poster_print,Botanical,Botanical_art,Wall_art,Botanical_poster,Vintage,Plant,Watercolour,Tulip,Insects,Flower",,https://i.etsystatic.com/12853550/r/il/cdabfd/2295893708/il_fullxfull.2295893708_2o5t.jpg,https://i.etsystatic.com/12853550/r/il/ee93c8/2343502553/il_fullxfull.2343502553_tm40.jpg,,,,,,,,,Dimensions,Dimensions,"5x7,A5 - 5.8x8.3,8x10,A4 - 8.3x11.7,11x14,A3 - 11.7x16.5",,,,
"Crab and Turtle Shells | marine nautical botanical print","This is a stunning 18th century watercolour study of a crab and turtle shells by Johann Gustav Hoch.

---

Take a look at the other prints we have available:
https://www.etsy.com/shop/TheDoveAndTheSeagull

---

Prints are available in a range of sizes, with a white border around the edges to allow for easy framing. If you have a specific size requirement, get in touch – we're always happy to help.

We use 200gsm enhanced matt art paper, an extremely high quality paper with a lovely texture, which looks fantastic and brings out the best in your artwork. With care, your print will look fantastic for many years!

When posting, we'll carefully pack your prints in a mailing tube or stiff envelope to keep them safe, and we aim have them on their way to you within 3-7 days of receiving your payment.

Please note that the actual item colours shown may be different from the photos above due to different monitor settings, and the frame shown is for illustrative purposes only.

---

Crab and turtle shells | Nature prints, nautical, sea, wall art, room decor, vintage print, watercolour | High quality print",10.6,GBP,48,"Poster,Poster_print,Wall_art,Vintage,Watercolour,Nature,Botanical_art,Wildlife,Shells,Sea,Marine,Crab,High_quality_print",,https://i.etsystatic.com/12853550/r/il/18d668/2181308062/il_fullxfull.2181308062_rr75.jpg,https://i.etsystatic.com/12853550/r/il/7d8b1d/968226798/il_fullxfull.968226798_qs89.jpg,,,,,,,,,Dimensions,Dimensions,"5x7,A5 - 5.8x8.3,8x10,A4 - 8.3x11.7,11x14,A3 - 11.7x16.5",,,,
"Clematis plant by Pierre-Joseph Redouté | Vintage botanical plant illustration | Art print for nature lovers","Pierre-Joseph Redouté (1759–1840), was a Flemish artist and botanist renowned for his exquisite watercolour paintings of lilies, roses, and other native plant species. Called the 'Raphael of Flowers', he was one of the finest and most famous botanical illustrators of all time. 

---

Take a look at the other prints we have available:
https://www.etsy.com/shop/TheDoveAndTheSeagull

----

Prints are available in a range of sizes, with a white border around the edges to allow for easy framing. If you have a specific size requirement, get in touch – we're always happy to help.

We use 200gsm Enhanced Matte Art Paper, a premium-quality heavyweight fine art print material with a smooth, clean finish. This museum-quality paper is extremely consistent and works perfectly with large, full colour graphics or illustrations. The matte finish emphasises different highlights and tones, helping to create stunning works of art.

When posting, we'll carefully pack your prints in a mailing tube or stiff envelope to keep them safe, and we aim have them on their way to you within 3-7 days of receiving your payment.

Please note that the actual item colours shown may be different from the photos above due to different monitor settings, and the frame shown is for illustrative purposes only.",10.6,GBP,49,"Poster,Vintage,Watercolour,Redouté,Wall_decor,Nature,Botanical_print,Plant_lovers_gift,Plant_illustration,Cottage_decor,Flower_art_print,Cottage,Clematis",,https://i.etsystatic.com/12853550/r/il/9d0c49/2364931390/il_fullxfull.2364931390_et1n.jpg,https://i.etsystatic.com/12853550/r/il/28a2bf/2364930910/il_fullxfull.2364930910_8wex.jpg,,,,,,,,,Dimensions,Dimensions,"5x7,A5 - 5.8x8.3,8x10,A4 - 8.3x11.7,11x14,A3 - 11.7x16.5",,,,
"Papillons by EA Seguy - plate 19 | Nature prints, butterfly prints, pattern, botany, wall art, room decor, vintage print | Giclee print","This is the nineteenth plate from a collection of 20 stunning butterfly prints by E A Seguy.

Eugene Alain Seguy was one of the leading French designers at the beginning of the 20th century, working in both the Art Deco and Art Nouveau styles. He published eleven albums of nature-themed work using the pochoir technique, a printing process which involves hand-colouring a large number of stencils - up to 100 for a single print -  to produce solid, bold colours.

---

Take a look at the other prints we have available: https://www.etsy.com/shop/TheDoveAndTheSeagull

---

Prints are available in a range of sizes, with a white border around the edges to allow for easy framing. If you have a specific size requirement, get in touch – we're always happy to help.

We use 200gsm enhanced matt art paper, an extremely high quality paper with a lovely texture, which looks fantastic and brings out the best in your artwork. With care, your print will look fantastic for many years!

When posting, we'll carefully pack your prints in a mailing tube or stiff envelope to keep them safe, and we aim have them on their way to you within 3-7 days of receiving your payment.

Please note that the actual item colours shown may be different from the photos above due to different monitor settings, and the frame shown is for illustrative purposes only.

---

Papillons by A E Seguy - plate 19 | Nature prints, butterfly prints, botany, wall art, room decor, vintage print | Giclee print",10.6,GBP,49,"Poster,Poster_print,Giclee_print,Wall_art,Vintage,Watercolour,Nature,Botanical_art,Wildlife,Nature_print,Butterfly_print,Butterfly_art,Butterfly_poster",,https://i.etsystatic.com/12853550/r/il/bd4a1a/2297354902/il_fullxfull.2297354902_nfkf.jpg,https://i.etsystatic.com/12853550/r/il/394c76/2294423562/il_fullxfull.2294423562_gzc5.jpg,,,,,,,,,Dimensions,Dimensions,"5x7,A5 - 5.8x8.3,8x10,A4 - 8.3x11.7,11x14,A3 - 11.7x16.5",,,,
